colorName
Fekete
Fehér
Barna
Csokoládé
Arany
Vörös
Szürke
Ezüst
Krémszínű
Bézs
Fahéjszínű
Mahagóni
Fekete-fehér
Barna-fehér
Vörös-fehér
Trikolór
Merle
Sable
