breed
labrador
german shepherd
golden retriever
french bulldog
bulldog english
poodle
beagle
rottweiler
terrier yorkshire
boxer
doberman
husky
shih tzu
collie border
australian shepherd
spaniel cocker
dachshund
pug
saint bernard
akita
malamute
chihuahua
weimaraner
great dane
pomeranian
samoyed
shiba
maltese
basset hound
dalmatian
